code,event_type_cd,description
TRDE,S,REQUEST FOR TRANSFORMATION DENIED
TRFL,S,REQUEST FOR TRANSFORMATION FILED
TRMS,I,TEAS REQUEST TO MAKE SPECIAL RECEIVED
TRNC,P,OWNERSHIP CHANGE PROCESSED BY IB
TROA,I,TEAS RESPONSE TO OFFICE ACTION RECEIVED
TRPP,S,REQUEST FOR TRANSFORMATION PROCESSED - PARTIAL
TRPT,S,REQUEST FOR TRANSFORMATION PROCESSED - TOTAL
TSEC,U,TRADEUPS SECURITY ACCESS UPDATE PERFORMED
TTBN,I,CASE ASSIGNED TO TTAB
TTBO,I,TTAB ORDER ISSUED
TTCD,D,BOARD DECISION COUNTERCLAIM DENIED
TTCG,P,BOARD DECISION: COUNTERCLAIM GRANTED IN PART/DENIED IN PART
TTCG,R,BOARD DECISION: COUNTERCLAIM GRANTED
TTJG,P,BOARD DECISION SUMMARY JUDGMENT GRANTED
TTPD,A,BOARD DECISION SET ASIDE; DISCLAIMED
TTPR,P,BOARD DECISION SET ASIDE; PROCEEDING REINSTATED
UNDC,O,UNDELIVERABLE MAIL - COURTESY COPY MAILED
UNDN,O,UNDELIVERABLE MAIL - NO ACTION TAKEN
UNDR,O,UNDELIVERABLE MAIL - CORRESP. REMAILED
UNPR,I,UNRESPONSIVE/DUPLICATE PAPER RECEIVED
UNTD,O,"REQUEST TO DIVIDE UNTIMELY, REFUSED, OR WITHDRAWN"
WDLA,P,WITHDRAWAL OF ATTORNEY APPROVED
WDLD,P,WITHDRAWAL OF ATTORNEY DENIED
WDLL,P,RESPONSE TO WITHDRAWAL OF ATTORNEY PROCESSED
WDRL,S,OTQR WITHDRAWAL FROM PUBLICATION
WOAG,I,WITHDRAWAL OF ATTORNEY GRANTED
WOAM,I,REVOCATION/WITHDRAWAL OF ATTORNEY RECEIVED
WOAP,O,WITHDRAWAL OF ATTORNEY LETTER PROCESSED
WOAR,I,TEAS WITHDRAWAL OF ATTORNEY RECEIVED
WOPP,I,EXTENSION OF TIME TO OPPOSE FILED
WRDA,*,WITHDRAWAL OF REFUSAL DURING APPEAL
WRDA,F,WITHDRAWAL OF REFUSAL DURING APPEAL
WRDA,O,WITHDRAWAL OF REFUSAL DURING APPEAL
WRDA,R,REFUSAL WITHDRAWAL LETTER - COMPLETED
XAAP,I,EXAMINER'S AMENDMENT AFTER PUB APPROVAL
XAEC,I,EXAMINER'S AMENDMENT ENTERED
XAWR,P,EXAMINER AMENDMENT AFTER PUB APPROVAL WRITTEN
XELG,O,APPLICATION EXTENSION GRANTED/RECEIPT PROVIDED
XELR,I,APPLICATION EXTENSION TO RESPONSE PERIOD - RECEIVED
XXCR,P,GENERIC MADRID TRANSACTION CREATED
XXSS,O,GENERIC MADRID TRANSACTION SENT TO IB
XXXX,X,POST REGISTRATION ACTION CORRECTION
ZZAX,Z,PREVIOUS ALLOWANCE WITHDRAWN-TIMELY AAU
ZZBX,Z,ALLOWANCE WITHDRAWN-INADVERTENTLY ISSUED ACTION
ZZZX,Z,PREVIOUS ALLOWANCE COUNT WITHDRAWN
ZZZY,Z,PREVIOUS ACTION COUNT WITHDRAWN
ZZZZ,Z,ALLOWANCE/COUNT WITHDRAWN
