code,description,live_dead_indicator
714,CANCELLED - SECTION 24,Dead/Cancelled
715,CANCELLED - RESTORED TO PENDENCY,Indifferent/Cancelled
717,REGISTERED - AWAITING DIVISIONAL FEE,Live
718,REQUEST FOR FIRST EXTENSION - FILED,Live/Pending
719,REQUEST FOR SECOND EXTENSION - FILED,Live/Pending
720,REQUEST FOR THIRD EXTENSION - FILED,Live/Pending
721,REQUEST FOR FOURTH EXTENSION - FILED,Live/Pending
722,REQUEST FOR FIFTH EXTENSION - FILED,Live/Pending
724,EXTENSION REQUEST REFUSAL - COUNTED,Live/Pending
725,EXTENSION REQUEST REFUSAL - MAILED,Live/Pending
730,FIRST EXTENSION - GRANTED,Live/Pending
731,SECOND EXTENSION - GRANTED,Live/Pending
732,THIRD EXTENSION - GRANTED,Live/Pending
733,FOURTH EXTENSION - GRANTED,Live/Pending
734,FIFTH EXTENSION - GRANTED,Live/Pending
739,Section 71 & 15 ACCEPTED AND ACKNOWLEDGED,Live/Registered
740,POST REGISTRATION PAPER FILED - ASSIGNED TO PARA-LEGAL,Live/Pending
744,STATEMENT OF USE - FILED,Live/Pending
745,STATEMENT OF USE - INFORMAL-LETTER MAILED,Live/Pending
746,STATEMENT OF USE - INFORMAL-RESPONSE ENTERED,Live/Pending
748,STATEMENT OF USE - TO EXAMINER,Live/Pending
752,SU - EXAMINER STATEMENT COUNTED - NOT MAILED,Live/Pending
753,SU - EXAMINER STATEMENT - MAILED,Live/Pending
756,EXAMINER STATEMENT COUNTED - NOT MAILED,Live/Pending
757,EXAMINER STATEMENT - MAILED,Live/Pending
760,EX PARTE APPEAL PENDING,Live/Pending
762,EX PARTE APPEAL TERMINATED,Live/Pending
763,EX PARTE APPEAL-REFUSAL AFFIRMED,Live/Pending
764,EX PARTE APPEAL DISMISSED AS MOOT,Live/Pending
765,CONCURRENT USE PROCEEDING TERMINATED-GRANTED,Live/Pending
766,CONCURRENT USE PROCEEDING TERMINATED-DENIED,Live/Pending
771,CONCURRENT USE PROCEEDING PENDING,Live/Pending
772,INTERFERENCE PROCEEDING PENDING,Live/Pending
773,EXTENSION OF TIME TO OPPOSE PROCESS - TERMINATED,Live/Pending
774,OPPOSITION PENDING,Live/Pending
775,OPPOSITION DISMISSED,Live/Pending
777,OPPOSITION TERMINATED-SEE TTAB RECORDS,Live/Pending
778,CANCELLATION DISMISSED,Live/Registered
779,OPPOSITION SUSTAINED,Live/Pending
780,CANCELLATION TERMINATED - SEE TTAB RECORDS,Live/Registered
781,CANCELLED - SECTION 16A,Dead/Cancelled
782,CANCELLED - SECTION 16B,Dead/Cancelled
783,CANCELLED RECONSIDERED,Dead/Cancelled
790,CANCELLATION PENDING,Live/Registered
794,JURISDICTION RESTORED TO EXAMINING ATTORNEY,Live/Pending
800,REGISTERED AND RENEWED,Live/Registered
801,OPPOSITION PAPERS FILED,Live/Pending
802,REQUEST FOR EXTENSION OF TIME TO FILE OPPOSITION,Live/Pending
803,AMENDMENT AFTER PUBLICATION,Live/Pending
804,APPEAL RECEIVED AT TTAB,Live/Pending
806,SU - NON-FINAL ACTION COUNTED - NOT MAILED,Live/Pending
807,SU - NON-FINAL ACTION - MAILED,Live/Pending
808,SU - FINAL REFUSAL COUNTED - NOT MAILED,Live/Pending
809,SU - FINAL REFUSAL - MAILED,Live/Pending
810,SU - EXAMINER'S AMENDMENT COUNTED - NOT MAILED,Live/Pending
811,SU - EXAMINER'S AMENDMENT - MAILED,Live/Pending
812,SU - ACTION CONTINUING FINAL COUNTED - NOT MAILED,Live/Pending
813,SU - ACTION CONTINUING FINAL - MAILED,Live/Pending
